Timestamp,Temperature (°C),Humidity (%)
2024-11-21 17:49:09,27.10,49.00
2024-11-21 17:49:11,27.10,49.00
2024-11-21 17:49:13,27.10,49.00
Timestamp,Temperature (°C),Humidity (%)
2024-11-21 17:49:29,26.70,49.00
2024-11-21 17:49:31,26.70,49.00
Timestamp,Temperature (°C),Humidity (%)
2024-11-24 13:51:15,25.80,36.00
2024-11-24 13:51:17,25.80,36.00
2024-11-24 13:51:19,25.80,36.00
2024-11-24 13:51:21,25.80,36.00
2024-11-24 13:51:23,25.80,36.00
2024-11-24 13:51:25,25.80,36.00
2024-11-24 13:51:27,25.80,36.00
2024-11-24 13:51:29,25.80,36.00
2024-11-24 13:51:31,25.80,36.00
2024-11-24 13:51:33,25.80,36.00
2024-11-24 13:51:36,25.80,36.00
2024-11-24 13:51:38,25.80,36.00
2024-11-24 13:51:40,25.80,36.00
2024-11-24 13:51:42,25.80,36.00
2024-11-24 13:51:44,25.80,36.00
2024-11-24 13:51:46,25.80,36.00
2024-11-24 13:51:48,25.50,36.00
2024-11-24 13:51:50,25.30,36.00
2024-11-24 13:51:52,25.30,36.00
2024-11-24 13:51:54,25.30,36.00
2024-11-24 13:51:56,25.30,36.00
2024-11-24 13:51:58,25.30,36.00
2024-11-24 13:52:00,25.30,36.00
2024-11-24 13:52:02,25.30,36.00
2024-11-24 13:52:04,25.30,36.00
2024-11-24 13:52:06,25.30,36.00
2024-11-24 13:52:08,25.30,36.00
2024-11-24 13:52:10,25.30,36.00
2024-11-24 13:52:12,25.30,36.00
2024-11-24 13:52:14,25.30,36.00
2024-11-24 13:52:16,25.30,36.00
2024-11-24 13:52:18,25.30,36.00
2024-11-24 13:52:20,25.30,36.00
2024-11-24 13:52:22,25.30,36.00
2024-11-24 13:52:24,25.30,36.00
2024-11-24 13:52:26,25.30,38.00
2024-11-24 13:52:28,25.30,39.00
2024-11-24 13:52:30,25.30,39.00
2024-11-24 13:52:32,25.80,41.00
2024-11-24 13:52:34,25.80,44.00
2024-11-24 13:52:36,26.20,46.00
2024-11-24 13:52:38,26.20,49.00
2024-11-24 13:52:40,26.70,52.00
2024-11-24 13:52:42,27.10,53.00
2024-11-24 13:52:44,27.10,53.00
2024-11-24 13:52:46,27.60,54.00
2024-11-24 13:52:48,28.00,53.00
2024-11-24 13:52:50,28.00,52.00
2024-11-24 13:52:52,28.50,51.00
2024-11-24 13:52:54,28.90,51.00
2024-11-24 13:52:57,28.90,50.00
2024-11-24 13:52:59,29.30,50.00
2024-11-24 13:53:01,29.70,49.00
2024-11-24 13:53:03,29.80,49.00
2024-11-24 13:53:05,30.20,47.00
2024-11-24 13:53:07,30.20,48.00
2024-11-24 13:53:09,30.80,49.00
2024-11-24 13:53:11,30.80,48.00
2024-11-24 13:53:13,31.30,47.00
2024-11-24 13:53:15,31.30,44.00
2024-11-24 13:53:17,31.80,41.00
2024-11-24 13:53:19,31.80,39.00
2024-11-24 13:53:21,31.80,37.00
2024-11-24 13:53:23,31.80,36.00
2024-11-24 13:53:25,31.80,35.00
2024-11-24 13:53:27,31.80,35.00
2024-11-24 13:53:29,32.00,34.00
2024-11-24 13:53:31,32.20,33.00
2024-11-24 13:53:33,32.00,32.00
2024-11-24 13:53:35,31.80,32.00
2024-11-24 13:53:37,31.80,32.00
2024-11-24 13:53:39,31.80,31.00
2024-11-24 13:53:41,31.80,31.00
2024-11-24 13:53:43,31.80,31.00
2024-11-24 13:53:45,31.80,31.00
2024-11-24 13:53:47,31.80,30.00
2024-11-24 13:53:49,31.80,30.00
2024-11-24 13:53:51,31.80,30.00
2024-11-24 13:53:53,31.30,30.00
2024-11-24 13:53:55,31.30,30.00
2024-11-24 13:53:57,31.30,30.00
2024-11-24 13:53:59,31.30,29.00
2024-11-24 13:54:01,31.30,29.00
2024-11-24 13:54:03,31.20,29.00
2024-11-24 13:54:05,30.80,29.00
2024-11-24 13:54:07,30.80,30.00
2024-11-24 13:54:09,30.80,29.00
2024-11-24 13:54:11,30.80,30.00
2024-11-24 13:54:13,30.80,29.00
2024-11-24 13:54:16,30.70,29.00
Timestamp,Temperature (°C),Humidity (%)
2024-11-24 13:56:53,26.70,34.00
2024-11-24 13:56:55,26.70,35.00
2024-11-24 13:56:58,26.70,35.00
2024-11-24 13:57:00,26.70,36.00
2024-11-24 13:57:02,26.70,38.00
2024-11-24 13:57:04,26.70,41.00
2024-11-24 13:57:06,26.70,43.00
2024-11-24 13:57:08,26.70,46.00
2024-11-24 13:57:10,26.70,49.00
