article;priority;name_oper1;name_oper2;name_oper3;name_oper4;name_oper5;name_oper6
AS12945T22;LOW;;;;;;
AS12945T22;LOW;;;;;;
AS12945T22;LOW;;;;;;
AS12945T22;LOW;;;;;;
AS12945T22;LOW;;;;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S22;NORMAL;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S20;LOW;5659;5663;5667;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945S17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945P17;HIGH;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945S48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12945G48;LOW;;;;;;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12946S22;HIGH;5647;5649;5651;5653;5659;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12947S22;HIGH;5647;5655;5657;5661;5667;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
AS12946S20;NORMAL;5647;5649;5651;5653;5659;
