Machine_ID,Item_ID,Operation_Name,Start_Time,Duration
A4578,AS12946S22,5647,0,345
A4598,AS12946S22,5647,0,425
A4588,AS12946S22,5647,0,490
S3271,AS12945S22,5659,0,502
A4578,AS12946S22,5647,346,345
A4572,AS12946S22,5649,346,320
A4598,AS12946S22,5647,426,425
A4592,AS12946S22,5649,426,415
A4588,AS12946S22,5647,491,490
S3271,AS12945S22,5659,503,502
K3675,AS12945S22,5663,503,440
A4554,AS12946S22,5651,667,308
A4572,AS12946S22,5649,667,320
A4578,AS12946S22,5647,692,345
A4592,AS12946S22,5649,842,415
A4591,AS12946S22,5651,842,440
A4598,AS12946S22,5647,852,425
Q3547,AS12945S22,5667,944,480
C5637,AS12946S22,5653,976,372
A4588,AS12946S22,5647,982,490
A4572,AS12946S22,5649,988,320
A4554,AS12946S22,5651,988,308
S3271,AS12945S22,5659,1006,502
K3675,AS12945S22,5663,1006,440
A4578,AS12946S22,5647,1038,345
A4592,AS12946S22,5649,1258,415
A4598,AS12946S22,5647,1278,425
A4591,AS12946S22,5651,1283,440
A4572,AS12946S22,5649,1309,320
A4554,AS12946S22,5651,1309,308
C5637,AS12946S22,5653,1349,372
A4578,AS12947S22,5647,1384,345
Q3547,AS12945S22,5667,1447,480
A4588,AS12947S22,5647,1473,490
S3271,AS12946S22,5659,1509,502
K3675,AS12945S22,5663,1509,440
A4572,AS12946S22,5649,1630,320
A4554,AS12946S22,5651,1630,308
A4592,AS12946S22,5649,1674,415
A4598,AS12946S22,5647,1704,425
C5637,AS12946S22,5653,1722,372
A4591,AS12946S22,5651,1724,440
A4578,AS12946S20,5647,1730,345
A4580,AS12947S22,5655,1730,345
Q3547,AS12945S22,5667,1950,480
A4572,AS12946S22,5649,1951,320
A4554,AS12946S22,5651,1951,308
A4588,AS12947S22,5647,1964,490
A4593,AS12947S22,5655,1964,428
S3271,AS12946S22,5659,2012,502
A4578,AS12947S22,5647,2076,345
C5635,AS12947S22,5657,2076,379
A4592,AS12946S22,5649,2090,415
C5637,AS12946S22,5653,2095,372
A4598,AS12947S22,5647,2130,425
A4591,AS12946S22,5651,2165,440
A4572,AS12946S22,5649,2272,320
A4554,AS12946S22,5651,2272,308
A4578,AS12947S22,5647,2422,345
A4580,AS12947S22,5655,2422,345
A4588,AS12947S22,5647,2455,490
A4593,AS12947S22,5655,2455,428
C5635,AS12947S22,5657,2456,379
T3452,AS12947S22,5661,2456,302
C5637,AS12946S22,5653,2468,372
A4592,AS12946S20,5649,2506,415
S3271,AS12946S22,5659,2515,502
A4598,AS12947S22,5647,2556,425
A4554,AS12946S22,5651,2581,308
A4591,AS12946S22,5651,2606,440
Q3547,AS12947S22,5667,2759,480
A4580,AS12947S22,5655,2768,345
A4578,AS12946S22,5647,2768,345
C5635,AS12947S22,5657,2836,379
T3452,AS12947S22,5661,2836,302
